"","dE","alphaB","powerwo","powerwEB","powerwEBdiff","powerwo_orig"
"X",-0.1,0.0142254896860505,0.621334963060608,0.621334963053774,-6.83331169426538e-12,0.705413902442457
"X.1",-0.09,0.0141627127229975,0.620673609476509,0.620721883152051,4.82736755418323e-05,0.705413902442457
"X.2",-0.08,0.014094313365031,0.619949738086884,0.620216495586228,0.000266757499343795,0.705413902442457
"X.3",-0.07,0.0140695265657036,0.619686567347892,0.619735317542378,4.87501944856916e-05,0.705413902442457
"X.4",-0.06,0.0140415996359288,0.619389510976192,0.61923525032973,-0.000154260646462401,0.705413902442457
"X.5",-0.05,0.0139637937483931,0.618558829456027,0.618883671965195,0.000324842509167866,0.705413902442457
"X.6",-0.04,0.0139699639496592,0.618624870078482,0.618627357439689,2.4873612064491e-06,0.705413902442457
"X.7",-0.03,0.0139230761171895,0.618122303736844,0.618216712414583,9.44086777393549e-05,0.705413902442457
"X.8",-0.02,0.0139230761171895,0.618122303736844,0.617985813140704,-0.000136490596140404,0.705413902442457
"X.9",-0.01,0.01389780726981,0.617850771800275,0.617831737123299,-1.90346769759486e-05,0.705413902442457
"X.10",0,0.01389780726981,0.617850771800275,0.617784089740172,-6.66820601030738e-05,0.705413902442457
"X.11",0.01,0.01389780726981,0.617850771800275,0.617857018631219,6.24683094407885e-06,0.705413902442457
"X.12",0.02,0.0139230761171895,0.618122303736844,0.617994557014686,-0.000127746722158206,0.705413902442457
"X.13",0.03,0.0139699639496592,0.618624870078482,0.618406038470384,-0.000218831608098324,0.705413902442457
"X.14",0.04,0.0139637937483931,0.618558829456027,0.618950385606946,0.000391556150918682,0.705413902442457
"X.15",0.05,0.0140695265657036,0.619686567347892,0.619735317542378,4.87501944856916e-05,0.705413902442457
"X.16",0.06,0.210959654952318,0.955142604040915,0.713115275232514,-0.2420273288084,0.705413902442457
"X.17",0.07,0.675606959723407,0.998438929639648,0.750811967983549,-0.247626961656099,0.705413902442457
"X.18",0.08,0.669508351469442,0.998351274500989,0.765156455979756,-0.233194818521232,0.705413902442457
"X.19",0.09,0.66274188437101,0.99824960645341,0.78131826498302,-0.21693134147039,0.705413902442457
"X.20",0.1,0.655405120051102,0.998133918021976,0.799790591578334,-0.198343326443642,0.705413902442457
"X.21",0.11,0.647645104577946,0.998005121561985,0.821250357011234,-0.176754764550752,0.705413902442457
"X.22",0.12,0.639624624322355,0.997864738194055,0.846917507630587,-0.150947230563468,0.705413902442457
"X.23",0.13,0.631761326676548,0.997719607415044,0.879469706096887,-0.118249901318157,0.705413902442457
"X.24",0.14,0.625361422316885,0.997595767542122,0.927777587995355,-0.0698181795467663,0.705413902442457
"X.25",0.15,0.620781079509134,0.997503870424303,0.997504031582507,1.61158204337042e-07,0.705413902442457
"X.26",0.16,0.604455951278572,0.997152969462664,0.997157544725692,4.57526302888311e-06,0.705413902442457
"X.27",0.17,0.588125057027627,0.996762699284664,0.996760069065496,-2.63021916724338e-06,0.705413902442457
"X.28",0.18,0.571789390968057,0.996329124612582,0.99633298796778,3.86335519797498e-06,0.705413902442457
"X.29",0.19,0.555533443107901,0.995850468610858,0.995850715102423,2.46491564048767e-07,0.705413902442457
"X.30",0.2,0.539314974190545,0.995321234395195,0.995321504408079,2.70012884606707e-07,0.705413902442457
"X.31",0.21,0.523162627553539,0.994737599250673,0.994720099414962,-1.74998357109768e-05,0.705413902442457
"X.32",0.22,0.507195829699934,0.994099474739964,0.99415483346574,5.53587257756671e-05,0.705413902442457
"X.33",0.23,0.491356948918252,0.993400112839558,0.993403444757441,3.33191788270959e-06,0.705413902442457
"X.34",0.24,0.475738817077638,0.992639045523126,0.992632000801225,-7.04472190049543e-06,0.705413902442457
"X.35",0.25,0.460330314295174,0.991811381934632,0.991811381934988,3.557154570899e-13,0.705413902442457
"X.36",0.26,0.44517076911761,0.990914815085078,0.990897128227895,-1.76868571829525e-05,0.705413902442457
"X.37",0.27,0.430240106947823,0.98994360492713,0.989946980829906,3.37590277565969e-06,0.705413902442457
"X.38",0.28,0.415615750338564,0.988898516065284,0.988906864849378,8.34878409361473e-06,0.705413902442457
"X.39",0.29,0.401296070885939,0.987775724065783,0.987789506246583,1.37821808005034e-05,0.705413902442457
"X.40",0.3,0.387282761615674,0.986571565313133,0.986577762425378,6.19711224547626e-06,0.705413902442457
"X.41",0.31,0.373585365649604,0.985283120407556,0.985283120599002,1.91446192232547e-10,0.705413902442457
"X.42",0.32,0.360253864014116,0.983912096172495,0.983919978982314,7.88280981811607e-06,0.705413902442457
"X.43",0.33,0.347283309787965,0.982455706351909,0.982427134770649,-2.85715812599063e-05,0.705413902442457
"X.44",0.34,0.334662814233333,0.980910429245241,0.980910149901071,-2.79344170572848e-07,0.705413902442457
"X.45",0.35,0.32240501002204,0.979275780166627,0.979272219204816,-3.56096181108878e-06,0.705413902442457
"X.46",0.36,0.310536277963418,0.977554221735022,0.97754110538084,-1.31163541817747e-05,0.705413902442457
"X.47",0.37,0.29905996560416,0.975746175784791,0.975698720239209,-4.74555455821646e-05,0.705413902442457
"X.48",0.38,0.287928492648358,0.973843766205186,0.973844502100661,7.35895475112436e-07,0.705413902442457
"X.49",0.39,0.27722294254742,0.971861777950605,0.971855699362389,-6.07858821599638e-06,0.705413902442457
"X.50",0.4,0.266866102555971,0.969787599082939,0.969751038219169,-3.65608637695747e-05,0.705413902442457
"X.51",0.41,0.256903021632972,0.967632023120607,0.967630968756346,-1.05436426101058e-06,0.705413902442457
"X.52",0.42,0.247325540840366,0.965396802851843,0.965403215869132,6.41301728887544e-06,0.705413902442457
"X.53",0.43,0.237525262027665,0.962927234444477,0.962927234444691,2.14162021450193e-13,0.705413902442457
"X.54",0.44,0.229235802222608,0.960680160014958,0.960683359115092,3.19910013357738e-06,0.705413902442457
"X.55",0.45,0.220531033420719,0.958149028545295,0.958148901981109,-1.26564186131439e-07,0.705413902442457
"X.56",0.46,0.212612737631658,0.955679608058794,0.955684136122511,4.52806371697978e-06,0.705413902442457
"X.57",0.47,0.204906251082368,0.953108997735622,0.953080357696381,-2.86400392413011e-05,0.705413902442457
"X.58",0.48,0.197345835914545,0.950411855759847,0.950411744829517,-1.10930329921821e-07,0.705413902442457
"X.59",0.49,0.190221643097762,0.947696765746923,0.947701443789965,4.67804304138397e-06,0.705413902442457
"X.60",0.5,0.183399089826614,0.944924289563311,0.944913815790321,-1.04737729894611e-05,0.705413902442457
"X.61",0.51,0.176873768521847,0.942100659843523,0.942120727863692,2.00680201692949e-05,0.705413902442457
"X.62",0.52,0.170682524911789,0.93925244025157,0.939252440479699,2.28128516077675e-10,0.705413902442457
"X.63",0.53,0.164739683664806,0.936350109339758,0.936356821025366,6.71168560750779e-06,0.705413902442457
"X.64",0.54,0.158655252880047,0.933192798168363,0.933192797150698,-1.01766473026288e-09,0.705413902442457
"X.65",0.55,0.153632349025448,0.930432736230805,0.930432995704453,2.59473648123176e-07,0.705413902442457
"X.66",0.56,0.148632748200691,0.927536257095484,0.927516819578183,-1.94375173014905e-05,0.705413902442457
"X.67",0.57,0.14365112357538,0.924490520923287,0.924508205976151,1.76850528634809e-05,0.705413902442457
"X.68",0.58,0.139010054003324,0.921498330452177,0.921507073034692,8.74258251493121e-06,0.705413902442457
"X.69",0.59,0.13459529208858,0.918502864513137,0.918502871293322,6.7801845249349e-09,0.705413902442457
"X.70",0.6,0.130385658459607,0.91550092222925,0.915500923622712,1.3934617903999e-09,0.705413902442457
"X.71",0.61,0.126311818500576,0.91245041597517,0.912450420884234,4.90906360006704e-09,0.705413902442457
"X.72",0.62,0.122497247877539,0.90945501870584,0.909447169987019,-7.84871882086868e-06,0.705413902442457
