"","dE","alphaB","powerwo","powerwFix","powerwFixdiff","powerwo_orig"
"1",-3,0,0,0,0,0.705413902442457
"2",-2.99,0,0,0,0,0.705413902442457
"3",-2.98,0,0,0,0,0.705413902442457
"4",-2.97,0,0,0,0,0.705413902442457
"5",-2.96,0,0,0,0,0.705413902442457
"6",-2.95,0,0,0,0,0.705413902442457
"7",-2.94,0,0,0,0,0.705413902442457
"8",-2.93,0,0,0,0,0.705413902442457
"9",-2.92,0,0,0,0,0.705413902442457
"10",-2.91,0,0,0,0,0.705413902442457
"11",-2.9,0,0,0,0,0.705413902442457
"12",-2.89,0,0,0,0,0.705413902442457
"13",-2.88,0,0,0,0,0.705413902442457
"14",-2.87,0,0,0,0,0.705413902442457
"15",-2.86,0,0,0,0,0.705413902442457
"16",-2.85,0,0,0,0,0.705413902442457
"17",-2.84,0,0,0,0,0.705413902442457
"18",-2.83,0,0,0,0,0.705413902442457
"19",-2.82,0,0,0,0,0.705413902442457
"20",-2.81,0,0,0,0,0.705413902442457
"21",-2.8,0,0,0,0,0.705413902442457
"22",-2.79,0,0,0,0,0.705413902442457
"23",-2.78,0,0,0,0,0.705413902442457
"24",-2.77,0,0,0,0,0.705413902442457
"25",-2.76,0,0,0,0,0.705413902442457
"26",-2.75,0,0,0,0,0.705413902442457
"27",-2.74,0,0,0,0,0.705413902442457
"28",-2.73,0,0,0,0,0.705413902442457
"29",-2.72,0,0,0,0,0.705413902442457
"30",-2.71,0,0,0,0,0.705413902442457
"31",-2.7,0,0,0,0,0.705413902442457
"32",-2.69,0,0,0,0,0.705413902442457
"33",-2.68,0,0,0,0,0.705413902442457
"34",-2.67,0,0,0,0,0.705413902442457
"35",-2.66,0,0,0,0,0.705413902442457
"36",-2.65,0,0,0,0,0.705413902442457
"37",-2.64,0,0,0,0,0.705413902442457
"38",-2.63,0,0,0,0,0.705413902442457
"39",-2.62,0,0,0,0,0.705413902442457
"40",-2.61,0,0,0,0,0.705413902442457
"41",-2.6,0,0,0,0,0.705413902442457
"42",-2.59,0,0,0,0,0.705413902442457
"43",-2.58,0,0,0,0,0.705413902442457
"44",-2.57,0,0,0,0,0.705413902442457
"45",-2.56,0,0,0,0,0.705413902442457
"46",-2.55,0,0,0,0,0.705413902442457
"47",-2.54,0,0,0,0,0.705413902442457
"48",-2.53,0,0,0,0,0.705413902442457
"49",-2.52,0,0,0,0,0.705413902442457
"50",-2.51,0,0,0,0,0.705413902442457
"51",-2.5,0,0,0,0,0.705413902442457
"52",-2.49,0,0,0,0,0.705413902442457
"53",-2.48,0,0,0,0,0.705413902442457
"54",-2.47,0,0,0,0,0.705413902442457
"55",-2.46,0,0,0,0,0.705413902442457
"56",-2.45,0,0,0,0,0.705413902442457
"57",-2.44,0,0,0,0,0.705413902442457
"58",-2.43,0,0,0,0,0.705413902442457
"59",-2.42,0,0,0,0,0.705413902442457
"60",-2.41,0,0,0,0,0.705413902442457
"61",-2.4,0,0,0,0,0.705413902442457
"62",-2.39,0,0,0,0,0.705413902442457
"63",-2.38,0,0,0,0,0.705413902442457
"64",-2.37,0,0,0,0,0.705413902442457
"65",-2.36,0,0,0,0,0.705413902442457
"66",-2.35,0,0,0,0,0.705413902442457
"67",-2.34,0,0,0,0,0.705413902442457
"68",-2.33,0,0,0,0,0.705413902442457
"69",-2.32,0,0,0,0,0.705413902442457
"70",-2.31,0,0,0,0,0.705413902442457
"71",-2.3,0,0,0,0,0.705413902442457
"72",-2.29,0,0,0,0,0.705413902442457
"73",-2.28,0,0,0,0,0.705413902442457
"74",-2.27,0,0,0,0,0.705413902442457
"75",-2.26,0,0,0,0,0.705413902442457
"76",-2.25,0,0,0,0,0.705413902442457
"77",-2.24,0,0,0,0,0.705413902442457
"78",-2.23,0,0,0,0,0.705413902442457
"79",-2.22,0,0,3.09045720855118e-07,3.09045720855118e-07,0.705413902442457
"80",-2.21,0,0,1.29189455695024e-06,1.29189455695024e-06,0.705413902442457
"81",-2.2,0,0,2.27093294684596e-06,2.27093294684596e-06,0.705413902442457
"82",-2.19,0,0,3.43121489898211e-06,3.43121489898211e-06,0.705413902442457
"83",-2.18,0,0,4.69566969561132e-06,4.69566969561132e-06,0.705413902442457
"84",-2.17,0,0,6.07307264404362e-06,6.07307264404362e-06,0.705413902442457
"85",-2.16,0,0,7.44298069143341e-06,7.44298069143341e-06,0.705413902442457
"86",-2.15,0,0,9.0639359178909e-06,9.0639359178909e-06,0.705413902442457
"87",-2.14,0,0,1.08275261228454e-05,1.08275261228454e-05,0.705413902442457
"88",-2.13,0,0,1.25794683007069e-05,1.25794683007069e-05,0.705413902442457
"89",-2.12,0,0,1.46500380282361e-05,1.46500380282361e-05,0.705413902442457
"90",-2.11,0,0,1.69000533637078e-05,1.69000533637078e-05,0.705413902442457
"91",-2.1,0,0,1.9344041114519e-05,1.9344041114519e-05,0.705413902442457
"92",-2.09,0,0,2.17680739740055e-05,2.17680739740055e-05,0.705413902442457
"93",-2.08,0,0,2.46284584247665e-05,2.46284584247665e-05,0.705413902442457
"94",-2.07,0,0,2.77316380436541e-05,2.77316380436541e-05,0.705413902442457
"95",-2.06,0,0,3.08058800571749e-05,3.08058800571749e-05,0.705413902442457
