Delta,alphaBEB,powerwEB,powerwo,powerwo_alphaBEB,powerEBdiff
-0.7,0.01737,0.69269,0.781906689,0.892758286,-0.200068286
-0.6,0.0176,0.70704,0.781906689,0.892758286,-0.185718286
-0.5,0.01747,0.72477,0.781906689,0.892758286,-0.167988286
-0.4,0.01783,0.74382,0.781906689,0.892758286,-0.148938286
-0.3,0.01914,0.7677,0.781906689,0.892758286,-0.125058286
-0.2,0.01955,0.78823,0.781906689,0.892758286,-0.104528286
-0.1,0.0235,0.80685,0.781906689,0.892758286,-0.085908286
1.11E-16,0.02711,0.82357,0.781906689,0.892758286,-0.069188286
0.1,0.03271,0.8363,0.781906689,0.892758286,-0.056458286
0.2,0.03889,0.84498,0.781906689,0.892758286,-0.047778286
0.3,0.04599,0.84843,0.781906689,0.892758286,-0.044328286
0.4,0.05154,0.8474,0.781906689,0.892758286,-0.045358286
0.5,0.05741,0.84217,0.781906689,0.892758286,-0.050588286
0.6,0.0624,0.83567,0.781906689,0.892758286,-0.057088286
0.7,0.0648,0.8279,0.781906689,0.892758286,-0.064858286
0.8,0.06716,0.81967,0.781906689,0.892758286,-0.073088286
0.9,0.06559,0.81003,0.781906689,0.892758286,-0.082728286
1,0.06239,0.80308,0.781906689,0.892758286,-0.089678286
1.1,0.05939,0.79983,0.781906689,0.892758286,-0.092928286
1.2,0.05668,0.79309,0.781906689,0.892758286,-0.099668286
1.3,0.05339,0.78735,0.781906689,0.892758286,-0.105408286
Delta,alphaBEB,powerwEB,powerwo,powerwo_alphaBEB,powerEBdiff
-0.7,0.01715,0.69567,0.781906688828427,0.891163729477868,-0.195493729477868
-0.6,0.01741,0.70637,0.781906688828427,0.891163729477868,-0.184793729477868
-0.5,0.017,0.72235,0.781906688828427,0.891163729477868,-0.168813729477868
-0.4,0.01694,0.74201,0.781906688828427,0.891163729477868,-0.149153729477868
-0.3,0.01824,0.7661,0.781906688828427,0.891163729477868,-0.125063729477868
-0.2,0.02027,0.78608,0.781906688828427,0.891163729477868,-0.105083729477868
-0.0999999999999999,0.02322,0.80686,0.781906688828427,0.891163729477868,-0.0843037294778679
1.11022302462516e-16,0.028,0.82359,0.781906688828427,0.891163729477868,-0.0675737294778679
0.1,0.03268,0.83822,0.781906688828427,0.891163729477868,-0.052943729477868
0.2,0.03763,0.84428,0.781906688828427,0.891163729477868,-0.0468837294778679
0.3,0.04478,0.84722,0.781906688828427,0.891163729477868,-0.043943729477868
0.4,0.05242,0.84565,0.781906688828427,0.891163729477868,-0.0455137294778679
0.5,0.05834,0.84256,0.781906688828427,0.891163729477868,-0.048603729477868
0.6,0.06403,0.83751,0.781906688828427,0.891163729477868,-0.053653729477868
0.7,0.06605,0.82765,0.781906688828427,0.891163729477868,-0.0635137294778679
0.8,0.06604,0.82138,0.781906688828427,0.891163729477868,-0.0697837294778679
0.9,0.06508,0.81051,0.781906688828427,0.891163729477868,-0.080653729477868
1,0.06291,0.80717,0.781906688828427,0.891163729477868,-0.0839937294778679
1.1,0.06021,0.80053,0.781906688828427,0.891163729477868,-0.090633729477868
1.2,0.05655,0.79338,0.781906688828427,0.891163729477868,-0.097783729477868
1.3,0.05211,0.7881,0.781906688828427,0.891163729477868,-0.103063729477868
